param,value,auc,note
Q,0.001,0.6129,"exact kalman_learner.py, R=0.1"
Q,0.005,0.6074,"exact kalman_learner.py, R=0.1"
Q,0.01,0.6049,"exact kalman_learner.py, R=0.1"
Q,0.02,0.6035,"exact kalman_learner.py, R=0.1"
Q,0.05,0.6006,"exact kalman_learner.py, R=0.1"
Q,0.1,0.6038,"exact kalman_learner.py, R=0.1"
Q,0.2,0.6028,"exact kalman_learner.py, R=0.1"
R,0.02,0.6044,"exact kalman_learner.py, Q=0.01"
R,0.05,0.6073,"exact kalman_learner.py, Q=0.01"
R,0.1,0.6049,"exact kalman_learner.py, Q=0.01"
R,0.2,0.5996,"exact kalman_learner.py, Q=0.01"
R,0.5,0.5841,"exact kalman_learner.py, Q=0.01"
R,1.0,0.5714,"exact kalman_learner.py, Q=0.01"
